title,author,normalizedTitle,normalizedAuthor,occurrenceCount,statesCount,districtsCount,topBanStatus,topOrigin,sampleChallenges
Flamer,"Curato, Mike",flamer,curato mike,15,8,15,Banned in Libraries,Legislative Action,"[{""state"": ""Colorado"", ""district"": ""Cherry Creek School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Michigan"", ""district"": ""Dearborn Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Missouri"", ""district"": ""Independence School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Mehlville School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries""}]"
Gender Queer: A Memoir,"Kobabe, Maia",gender queer a memoir,kobabe maia,15,10,15,Banned Pending Investigation,Legislative Action,"[{""state"": ""Colorado"", ""district"": ""Cherry Creek School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Michigan"", ""district"": ""Spring Lake Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Independence School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Lindbergh Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}]"
Tricks,"Hopkins, Ellen",tricks,hopkins ellen,13,7,13,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Brevard Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Hernando County Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""Highlands Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Crank,"Hopkins, Ellen",crank,hopkins ellen,12,5,12,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Brevard Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Flagler"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""Hernando County Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",handmaids tale the graphic novel,atwood margaret,12,4,12,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Missouri"", ""district"": ""Kirkwood School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Missouri"", ""district"": ""Lindbergh Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Mehlville School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""North Kansas City Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries""}]"
A Court of Mist and Fury,"Maas, Sarah J.",court of mist and fury,maas sarah j,11,5,11,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Brevard Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Flagler"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""Highlands Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Volusia County Schools"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Push,Sapphire,push,sapphire,11,4,11,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Flagler"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Florida"", ""district"": ""Seminole County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Michigan"", ""district"": ""Davison Community Schools"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Sold,"McCormick, Patricia",sold,mccormick patricia,11,6,11,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Brevard Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Broward County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Florida"", ""district"": ""Flagler"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Florida"", ""district"": ""Seminole County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Milk and Honey,"Kaur, Rupi",milk and honey,kaur rupi,10,5,10,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Missouri"", ""district"": ""Kirkwood School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}, {""state"": ""Missouri"", ""district"": ""Lindbergh Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Webster Groves School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
The Bluest Eye,"Morrison, Toni",bluest eye,morrison toni,10,6,10,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Broward County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}, {""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""August 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""Florida"", ""district"": ""Highlands Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}, {""state"": ""New Jersey"", ""district"": ""Washington Township High School"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Classrooms""}, {""state"": ""Pennsylvania"", ""district"": ""Pleasant Valley School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
