bucket,priority,title,author,occurrenceCount,statesCount,districtsCount,topBanStatus,matchedSlug,existingCompleteness,matchType,notes
likely_truly_missing,high,Flamer,"Curato, Mike",15,8,15,Banned in Libraries,,,missing,
likely_truly_missing,high,Gender Queer: A Memoir,"Kobabe, Maia",15,10,15,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Sold,"McCormick, Patricia",11,6,11,Banned Pending Investigation,,,missing,
likely_truly_missing,high,The Bluest Eye,"Morrison, Toni",10,6,10,Banned Pending Investigation,,,missing,
likely_truly_missing,high,This Book Is Gay,"Dawson, Juno",10,7,10,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,All Boys Aren't Blue,"Johnson, George M.",9,5,9,Banned Pending Investigation,,,missing,
likely_truly_missing,high,The Perks of Being a Wallflower,"Chbosky, Stephen",9,7,9,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Thirteen Reasons Why,"Asher, Jay",8,5,8,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Melissa (George),"Gino, Alex",7,4,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Nineteen Minutes,"Picoult, Jodi",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Forever...,"Blume, Judy",6,4,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Lawn Boy,"Evison, Jonathan",6,4,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Lucky,"Sebold, Alice",6,3,6,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Not That Bad: Dispatches from Rape Culture,"Gay, Roxane",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Traffick,"Hopkins, Ellen",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,All Out: The No-Longer-Secret Stories of Queer Teens Throughout the Ages,"Mitchell, Saundra",1,1,1,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Date Rape (At Issue),"Watkins, Christine",1,1,1,Banned in Libraries,,,missing,
likely_truly_missing,normal,"Gender Danger: Survivors of Rape, Human Trafficking, and Honor Killings","Simons, Rae",1,1,1,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,GLBTQ*: The Survival Guide for Queer & Questioning Teens,"Huegel, Kelly",1,1,1,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,"Healing Sexual Trauma Workbook: Somatic Skills to Help You Feel Safe in Your Body, Create Boundaries, and Live with Resilience","Shershun, Erika",1,1,1,Banned in Libraries and Classrooms,,,missing,
