bucket,priority,title,author,occurrenceCount,statesCount,districtsCount,topBanStatus,matchedSlug,existingCompleteness,matchType,notes
likely_truly_missing,high,Tricks,"Hopkins, Ellen",13,7,13,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Crank,"Hopkins, Ellen",12,5,12,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",12,4,12,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,A Court of Mist and Fury,"Maas, Sarah J.",11,5,11,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Milk and Honey,"Kaur, Rupi",10,5,10,Banned Pending Investigation,,,missing,
likely_truly_missing,high,A Court of Frost and Starlight,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,A Court of Thorns and Roses,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,A Court of Wings and Ruin,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,What Girls Are Made Of,"Arnold, Elana K.",9,4,9,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Red Hood,"Arnold, Elana K.",8,5,8,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Haters,"Andrews, Jesse",8,4,8,Banned Pending Investigation,,,missing,
likely_truly_missing,high,The Sun and Her Flowers,"Kaur, Rupi",8,2,8,Banned in Libraries,,,missing,
likely_truly_missing,high,Breathless,"Niven, Jennifer",7,3,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Damsel,"Arnold, Elana K.",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Eleanor & Park,"Rowell, Rainbow",7,6,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Empire of Storms,"Maas, Sarah J.",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Fallout,"Hopkins, Ellen",7,5,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Identical,"Hopkins, Ellen",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Impulse,"Hopkins, Ellen",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Looking for Alaska,"Green, John",7,5,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Out of Darkness,"Pérez, Ashley Hope",7,4,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Carnival at Bray,"Foley, Jessie Ann",7,4,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Hate U Give,"Thomas, Angie",7,4,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Tilt,"Hopkins, Ellen",7,4,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Me and Earl and the Dying Girl,"Andrews, Jesse",6,3,6,Banned Pending Investigation,,,missing,
