title,author,occurrenceCount,statesCount,districtsCount,topBanStatus,matchedSlug,matchType,status,existingCompleteness,notes
Flamer,"Curato, Mike",15,8,15,Banned in Libraries,,missing,missing,,
Gender Queer: A Memoir,"Kobabe, Maia",15,10,15,Banned Pending Investigation,,missing,missing,,
Tricks,"Hopkins, Ellen",13,7,13,Banned Pending Investigation,,missing,missing,,
Crank,"Hopkins, Ellen",12,5,12,Banned in Libraries and Classrooms,,missing,missing,,
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",12,4,12,Banned in Libraries and Classrooms,,missing,missing,,
A Court of Mist and Fury,"Maas, Sarah J.",11,5,11,Banned in Libraries and Classrooms,,missing,missing,,
Push,Sapphire,11,4,11,Banned in Libraries and Classrooms,push,title_author,exists_incomplete,incomplete_affiliate,Matched by normalized title/author to push
Sold,"McCormick, Patricia",11,6,11,Banned Pending Investigation,,missing,missing,,
Milk and Honey,"Kaur, Rupi",10,5,10,Banned Pending Investigation,,missing,missing,,
The Bluest Eye,"Morrison, Toni",10,6,10,Banned Pending Investigation,,missing,missing,,
This Book Is Gay,"Dawson, Juno",10,7,10,Banned in Libraries and Classrooms,,missing,missing,,
A Court of Frost and Starlight,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,missing,missing,,
A Court of Thorns and Roses,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,missing,missing,,
A Court of Wings and Ruin,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,missing,missing,,
All Boys Aren't Blue,"Johnson, George M.",9,5,9,Banned Pending Investigation,,missing,missing,,
The Perks of Being a Wallflower,"Chbosky, Stephen",9,7,9,Banned in Libraries and Classrooms,,missing,missing,,
What Girls Are Made Of,"Arnold, Elana K.",9,4,9,Banned Pending Investigation,,missing,missing,,
Red Hood,"Arnold, Elana K.",8,5,8,Banned in Libraries and Classrooms,,missing,missing,,
The Haters,"Andrews, Jesse",8,4,8,Banned Pending Investigation,,missing,missing,,
The Sun and Her Flowers,"Kaur, Rupi",8,2,8,Banned in Libraries,,missing,missing,,
Thirteen Reasons Why,"Asher, Jay",8,5,8,Banned Pending Investigation,,missing,missing,,
Breathless,"Niven, Jennifer",7,3,7,Banned in Libraries and Classrooms,,missing,missing,,
Damsel,"Arnold, Elana K.",7,5,7,Banned Pending Investigation,,missing,missing,,
Eleanor & Park,"Rowell, Rainbow",7,6,7,Banned Pending Investigation,,missing,missing,,
Empire of Storms,"Maas, Sarah J.",7,5,7,Banned Pending Investigation,,missing,missing,,
Fallout,"Hopkins, Ellen",7,5,7,Banned in Libraries and Classrooms,,missing,missing,,
Identical,"Hopkins, Ellen",7,5,7,Banned Pending Investigation,,missing,missing,,
Impulse,"Hopkins, Ellen",7,5,7,Banned Pending Investigation,,missing,missing,,
Looking for Alaska,"Green, John",7,5,7,Banned in Libraries and Classrooms,,missing,missing,,
Melissa (George),"Gino, Alex",7,4,7,Banned Pending Investigation,,missing,missing,,
Nineteen Minutes,"Picoult, Jodi",7,5,7,Banned Pending Investigation,,missing,missing,,
